Issue ID	Type	Area	Title	Assigned To	Priority	Status	Milestone
879	Defect	Skyline	Need some way to show user FAIMS information in raw scan view, to demystify jagged chromatograms before IM filters are applied	guest	3	closed	
878	Defect	Skyline	Need to handle retention time shifts for deuterated internal standards	guest	3	closed	
877	Defect	Skyline	"""How Skyline Calculates Peak Areas and Heights"" tip could use updating"	guest	3	closed	
876	Defect	Skyline	"Typo in ""Skyline Small Molecule Method Development and CE Optimization"" tutorial"	guest	3	closed	
875	Defect	Skyline	The adduct pick list (as used in Modify... in Targets tree) should include [M+] and [M-]	guest	3	closed	
874	Defect	Skyline	Default Win32 MAX_PATH value of 260 is too small for some users	guest	3	closed	
873	Defect	Skyline	Feature request: single molecule/peptide re-integration	guest	3	closed	
872	Defect	Skyline	Document created by an m/z-only transition list should not depend on list order	guest	3	closed	22.1
871	Defect	Skyline	Clean up the interaction of small molecule transition list imports and Transition Settings that affect precursor isotope ([M+1], [M+2] etc) creation	guest	1	closed	23.1
870	Todo	Skyline	Implement special peak statistics for DDA MS/MS	guest	1	closed	22.2
869	Todo	Skyline	Add a Prosit RT calculator parallel to SSRCalc	guest	3	closed	
868	Todo	Skyline	Consider generating a dictionary of less common isotopes instead of hardcoding them piecemeal in response to user requests	guest	3	closed	
867	Todo	Skyline	Possible Improvements to Edit>Insert>TransitionList	guest	3	closed	22.1
866	Defect	Skyline	Provide option in Skyline to upload a minimized library to Panorama	guest	3	closed	22.1
865	Defect	Skyline	"Adding heavy mods in Peptide Settings does not add ""Ratio to Heavy"" normalization to Quantification tab"	guest	1	closed	21.2
864	Defect	Skyline	Various issues reading this small molecule transition list with heavy label formulas	guest	3	closed	22.1
863	Defect	Skyline	Problem loading a small mol document with isotope labels - Skyline complains that they aren't known modifications (which should not matter)	guest	3	closed	22.1
862	Defect	Skyline	"""Importing Results..."" window should resize its multi-file progress control when there's a vertical scrollbar in use (currently cuts off the ""Cancel"" buttons and looks funny)"	guest	3	closed	22.1
861	Todo	Skyline	Implement better peptide to protein assignment strategies for target selection	guest	2	closed	22.1
860	Defect	Skyline	Support more than one fragment specification per line in transition list column picker, for small molecules at least	guest	3	closed	
859	Defect	Skyline	Add peak apex CCS to Transition Result	guest	3	closed	22.1
858	Defect	Skyline	"make ""ImportPeptideSearch with the IMS filtering visible"" a form view that can be shown in the SkylineTester  Forms tab"	guest	3	closed	22.1
857	Defect	Skyline	ImportTransitionListColumnSelectDlg lags a bit when associate proteins checked	guest	3	closed	21.2
856	Defect	Skyline	"When training a ""Default"" peak scoring model, the model should be able to use feature scores that are present for some but not all peptides"	guest	3	closed	22.1
855	Defect	Skyline	Log scale with median normalization does not mention the normalization in the y-axis label	guest	3	closed	22.2
854	Defect	Skyline	Peak Areas - Replicate Comparison - Normalize to strangely chooses poorly	guest	2	closed	21.2
853	Defect	Skyline	Remove peak should make dotp annotations and line missing	guest	1	closed	21.2
852	Defect	Skyline	Full-Scan graph no longer auto-scales the y-axis when clicking arrow buttons	guest	2	closed	21.2
851	Todo	Skyline	Rename auto trained peak scoring models	guest	3	closed	22.1
850	Defect	Skyline	Fix performance issue with ion moblity filtering in library viewer	guest	3	closed	22.1
849	Defect	Skyline	Failure opening .sky file saying audit log entry has been modified	guest	2	closed	21.2
848	Defect	Skyline	Show a better error message if check for Panorama server fails	guest	1	closed	23.1
847	Defect	Skyline	Add option to use explicit RT instead of measured for exporting scheduled methods	guest	3	closed	
846	Defect	Skyline	Trouble exporting polarity-switching QQQ method from Skyline to Agilent-6495C	guest	3	closed	
845	Defect	Skyline	User says Agilent 6495C can go down to a dwell time of 0.5ms, but we insist on integer dwell times in UI	guest	3	closed	
844	Defect	Skyline	Libraries should load without error even if the directory that the library is in is not writeable.	guest	2	closed	21.2
843	Defect	Skyline	"Update ""_elementMasses"" in MaxQuantReader.cpp"	guest	2	closed	21.2
842	Todo	Skyline	Add a setting for RT annotation display to Chromatogram graph right-click > properties form	guest	2	closed	
841	Defect	Skyline	Insert Transition List with heavy precursors results in document that cannot be opened.	guest	2	closed	
840	Defect	Skyline	is M+Na precursor being handled properly in display of split graphs and heat maps, and is it being used properly in SONAR extraction?	guest	3	closed	
839	Defect	Skyline	"Inconsistent representation of ""squared"" in IM peak display on chromatogram graphs"	guest	3	closed	
838	Defect	Skyline	initial zoom on ion mobility heat map should not default to zero as lower range	guest	3	closed	21.1
837	Defect	Skyline	"Import Peptide wizard ""Configure Full-Scan Settings"" IMS stuff should have its own page/step"	guest	3	closed	21.1
836	Defect	Skyline	Certain TransitionSettings>Library tab controls dealing with product ion filtering should be declared as proteomic	guest	3	closed	21.2
835	Defect	Skyline	Audit verification error after minimizing and sharing Skyline document	guest	3	closed	
834	Defect	Skyline	Precursors for the same peptide with same precursor m/z get lost in the .skyd file	guest	2	closed	
